Benchmark,bytes,repetitions,t_ovrl[usec],t_pure[usec],t_CPU[usec],overlap[%]
Igatherv,65536,640,2913.05,1546.88,1557.20,12.27
Igatherv,131072,320,3310.30,1754.47,1764.43,11.82
Igatherv,262144,160,4240.17,2194.21,2203.53,7.15
Igatherv,524288,80,7427.24,3716.25,3715.69,0.13
Igatherv,1048576,40,13658.00,6958.13,6961.70,3.76
Igatherv,2097152,20,37145.35,18638.99,18510.48,0.02
Igatherv,4194304,10,266798.40,133482.29,132508.29,0.00
Iscatter,0,1000,147.56,73.98,73.44,0.00
Iscatter,1,1000,150.24,75.34,74.85,0.00
Iscatter,2,1000,149.97,75.21,74.68,0.00
Iscatter,4,1000,150.04,75.25,74.77,0.00
Iscatter,8,1000,149.98,75.21,74.67,0.00
Iscatter,16,1000,150.44,75.43,74.94,0.00
Iscatter,32,1000,150.39,75.41,74.85,0.00
Iscatter,64,1000,151.56,76.08,75.60,0.16
Iscatter,128,1000,26.29,13.03,12.90,0.00
Iscatter,256,1000,29.33,14.68,14.49,0.00
Iscatter,512,1000,35.02,17.47,17.28,0.00
Iscatter,1024,1000,47.01,23.29,23.10,0.00
Iscatter,2048,1000,60.37,29.79,29.63,0.00
Iscatter,4096,1000,87.25,43.94,43.67,0.81
Iscatter,8192,1000,122.49,62.18,61.85,2.46
Iscatter,16384,1000,2502.85,1253.84,1245.37,0.00
Iscatter,32768,1000,2651.85,1328.12,1320.09,0.00
Iscatter,65536,640,2952.83,1480.30,1470.14,0.00
Iscatter,131072,320,3626.79,1818.32,1805.59,0.00
Iscatter,262144,160,5556.18,2790.22,2770.01,0.15
Iscatter,524288,80,9083.64,4555.03,4524.01,0.00
Iscatter,1048576,40,15109.05,7570.53,7523.30,0.00
Iscatter,2097152,20,23981.13,12094.82,12097.44,1.75
Iscatter,4194304,10,195945.28,100067.81,99361.68,3.48
Iscatterv,0,1000,150.60,75.45,74.95,0.00
Iscatterv,1,1000,153.08,76.61,76.12,0.00
Iscatterv,2,1000,159.54,83.21,82.64,7.58
Iscatterv,4,1000,153.01,76.64,76.13,0.00
Iscatterv,8,1000,153.04,76.61,76.12,0.00
Iscatterv,16,1000,153.30,76.78,76.28,0.00
Iscatterv,32,1000,153.56,76.92,76.39,0.00
Iscatterv,64,1000,154.86,77.66,77.09,0.00
Iscatterv,128,1000,27.45,13.57,13.43,0.00
Iscatterv,256,1000,30.54,15.18,15.04,0.00
Iscatterv,512,1000,36.39,18.13,17.99,0.00
Iscatterv,1024,1000,48.18,23.81,23.63,0.00
Iscatterv,2048,1000,61.77,30.63,30.43,0.00
Iscatterv,4096,1000,89.32,45.10,44.83,1.36
Iscatterv,8192,1000,123.16,62.37,62.04,1.99
Iscatterv,16384,1000,2537.29,1257.12,1250.53,0.00
Iscatterv,32768,1000,2649.92,1326.27,1317.35,0.00
Iscatterv,65536,640,2945.23,1472.25,1462.21,0.00
Iscatterv,131072,320,3636.64,1822.83,1810.07,0.00
Iscatterv,262144,160,5722.43,2868.17,2847.39,0.00
Iscatterv,524288,80,9172.28,4603.70,4570.47,0.04
Iscatterv,1048576,40,15089.25,7551.76,7504.89,0.00
Iscatterv,2097152,20,23976.14,12104.09,12105.14,1.93
Iscatterv,4194304,10,187993.76,89100.23,88472.33,0.00
Ialltoall,0,1000,262.17,131.24,131.58,0.49
Ialltoall,1,1000,262.54,132.39,132.48,1.76
Ialltoall,2,1000,262.71,132.71,132.80,2.10
Ialltoall,4,1000,262.95,132.54,132.64,1.68
Ialltoall,8,1000,262.84,132.49,132.55,1.66
Ialltoall,16,1000,263.02,132.71,132.83,1.89
Ialltoall,32,1000,267.11,133.69,134.06,0.48
Ialltoall,64,1000,277.79,140.33,140.42,2.10
Ialltoall,128,1000,151.43,123.72,123.82,77.62
Ialltoall,256,1000,166.71,135.16,135.26,76.67
Ialltoall,512,1000,195.89,160.78,160.99,78.19
Ialltoall,1024,1000,256.98,208.32,208.62,76.67
Ialltoall,2048,1000,479.86,415.40,415.96,84.50
Ialltoall,4096,1000,705.59,605.15,606.10,83.43
Ialltoall,8192,1000,1087.37,946.92,948.42,85.19
Ialltoall,16384,483,40227.43,20750.46,20762.20,6.19
Ialltoall,32768,483,38661.12,20146.65,20158.08,8.15
Ialltoall,65536,482,39871.94,20178.32,20193.67,2.48
Ialltoall,131072,320,49199.36,25532.55,25552.62,7.38
Ialltoall,262144,160,79907.33,40954.50,40984.56,4.96
Ialltoall,524288,80,147702.35,74857.32,74939.74,2.80
Ialltoall,1048576,40,314979.98,167289.44,167357.53,11.75
Ialltoallv,0,1000,2.65,1.30,1.19,0.00
Ialltoallv,1,1000,264.29,133.48,133.58,2.08
Ialltoallv,2,1000,264.79,134.01,134.10,2.47
Ialltoallv,4,1000,266.49,137.51,137.65,6.30
Ialltoallv,8,1000,264.86,133.93,134.01,2.31
Ialltoallv,16,1000,265.58,134.20,134.26,2.14
Ialltoallv,32,1000,266.71,134.86,134.99,2.33
Ialltoallv,64,1000,279.86,141.67,141.77,2.53
Ialltoallv,128,1000,153.28,125.37,125.43,77.74
Ialltoallv,256,1000,168.62,136.07,136.54,76.16
Ialltoallv,512,1000,196.97,162.45,162.69,78.78
Ialltoallv,1024,1000,256.18,207.68,207.94,76.67
Ialltoallv,2048,1000,474.97,411.85,412.46,84.70
Ialltoallv,4096,1000,699.03,600.72,601.63,83.66
Ialltoallv,8192,1000,1084.21,943.29,945.27,85.09
Ialltoallv,16384,485,39926.58,20725.03,20752.26,7.47
Ialltoallv,32768,485,38638.09,20465.44,20475.99,11.25
Ialltoallv,65536,485,40106.70,20177.58,20189.78,1.29
Ialltoallv,131072,320,49281.99,25339.85,25356.44,5.58
Ialltoallv,262144,160,79152.77,40997.64,41009.76,6.96
Ialltoallv,524288,80,145277.76,74351.04,74376.44,4.64
Ialltoallv,1048576,40,314084.74,172242.34,172329.32,17.69
Ireduce,0,1000,0.58,0.19,0.23,0.00
Ireduce,4,1000,16.34,12.61,12.45,69.15
Ireduce,8,1000,16.51,12.72,12.54,68.75
Ireduce,16,1000,16.40,12.71,12.55,69.74
Ireduce,32,1000,16.33,12.64,12.46,69.39
Ireduce,64,1000,16.74,12.91,12.71,68.76
Ireduce,128,1000,18.67,15.42,15.23,77.64
Ireduce,256,1000,19.64,16.20,16.02,77.68
Ireduce,512,1000,22.26,18.02,17.81,75.29
Ireduce,1024,1000,25.16,20.51,20.32,76.38
Ireduce,2048,1000,30.40,16.05,15.92,9.77
Ireduce,4096,1000,46.18,22.72,22.54,0.00
Ireduce,8192,1000,64.78,31.30,31.11,0.00
Ireduce,16384,1000,425.35,179.87,179.01,0.00
Ireduce,32768,1000,496.79,217.36,216.37,0.00
Ireduce,65536,640,624.11,279.91,278.57,0.00
Ireduce,131072,320,864.34,400.82,399.15,0.00
Ireduce,262144,160,1356.62,649.15,646.04,0.00
Ireduce,524288,80,2373.17,1137.99,1132.13,0.00
Ireduce,1048576,40,4527.36,2160.63,2149.03,0.00
Ireduce,2097152,20,8968.95,4202.46,4187.70,0.00
Ireduce,4194304,10,18557.11,9181.55,9149.58,0.00
Iallreduce,0,1000,0.57,0.20,0.23,0.00
Iallreduce,4,1000,34.02,18.28,18.21,13.53
Iallreduce,8,1000,34.20,18.37,18.30,13.44
Iallreduce,16,1000,34.50,18.52,18.49,13.57
Iallreduce,32,1000,34.95,18.83,18.74,13.89
Iallreduce,64,1000,35.76,19.13,19.02,12.50
Iallreduce,128,1000,55.41,31.40,31.31,23.25
Iallreduce,256,1000,57.95,32.49,32.47,21.58
Iallreduce,512,1000,62.21,34.63,34.61,20.30
Iallreduce,1024,1000,73.48,40.53,40.49,18.62
Iallreduce,2048,1000,100.98,53.00,52.95,9.38
Iallreduce,4096,1000,140.97,71.39,71.42,2.58
Iallreduce,8192,1000,199.76,100.93,100.93,2.09
Iallreduce,16384,1000,1443.36,726.32,727.64,1.46
Iallreduce,32768,1000,1555.49,782.38,783.63,1.34
Iallreduce,65536,640,356.88,180.26,179.56,1.63
Iallreduce,131072,320,612.35,311.64,311.88,3.58
Iallreduce,262144,160,963.05,480.98,481.70,0.00
Iallreduce,524288,80,19166.54,9578.30,9581.93,0.00
Iallreduce,1048576,40,20617.79,10304.68,10308.31,0.00
Iallreduce,2097152,20,23420.30,11706.60,11710.33,0.00
Iallreduce,4194304,10,28740.24,14388.00,14393.75,0.29
Ibarrier,1,1000,54.00,30.78,30.72,24.37
